iter	Passed	Remaining
0	1	673
1	3	658
2	5	670
3	6	642
4	8	632
5	9	614
6	11	627
7	13	639
8	14	629
9	15	623
10	17	616
11	19	615
12	20	615
13	22	613
14	23	615
15	25	612
16	27	609
17	28	606
18	30	602
19	31	599
20	33	597
21	34	597
22	36	592
23	37	593
24	39	593
25	41	591
26	42	593
27	44	592
28	46	591
29	48	592
30	49	594
31	51	597
32	54	601
33	55	600
34	57	602
35	59	602
36	61	603
37	63	603
38	65	603
39	66	601
40	68	599
41	70	602
42	72	603
43	74	601
44	75	599
45	77	596
46	79	597
47	81	599
48	83	598
49	85	598
50	87	601
51	90	606
52	92	606
53	94	607
54	97	609
55	99	612
56	103	621
57	106	626
58	108	626
59	110	627
60	113	629
61	116	632
62	119	639
63	123	646
64	125	646
65	127	646
66	130	647
67	132	647
68	135	649
69	138	652
70	140	652
71	145	663
72	149	667
73	153	678
74	158	687
75	162	690
76	165	693
77	169	700
78	173	706
79	176	706
80	179	704
81	181	702
82	185	707
83	187	705
84	190	704
85	192	701
86	194	699
87	196	695
88	198	694
89	200	692
90	203	690
91	205	687
92	207	685
93	209	682
94	211	678
95	213	676
96	215	674
97	218	673
98	220	671
99	222	668
100	225	666
101	226	662
102	228	659
103	232	660
104	234	658
105	236	654
106	237	651
107	239	648
108	241	644
109	243	641
110	245	638
111	247	635
112	249	633
113	252	632
114	255	632
115	257	630
116	259	627
117	262	626
118	265	626
119	268	625
120	270	624
121	273	623
122	275	621
123	278	620
124	281	619
125	284	619
126	288	620
127	291	620
128	297	624
129	301	625
130	304	625
131	306	622
132	308	620
133	311	617
134	313	614
135	316	613
136	318	610
137	320	607
138	322	604
139	324	602
140	326	598
141	328	596
142	330	594
143	333	593
144	335	590
145	337	587
146	339	584
147	341	581
148	343	579
149	346	576
150	348	575
151	350	572
152	353	569
153	355	567
154	357	565
155	360	563
156	362	561
157	365	559
158	367	557
159	369	554
160	372	553
161	375	551
162	379	551
163	382	550
164	385	548
165	388	548
166	392	547
167	395	546
168	397	544
169	400	541
170	402	538
171	403	535
172	405	532
173	407	529
174	410	527
175	412	524
176	413	521
177	415	518
178	417	515
179	419	512
180	420	509
181	422	506
182	424	503
183	426	501
184	428	497
185	430	494
186	431	491
187	434	489
188	435	486
189	437	483
190	439	480
191	441	478
192	444	476
193	446	473
194	447	470
195	449	468
196	451	465
197	453	462
198	455	459
199	457	457
200	459	454
201	461	452
202	463	449
203	465	446
204	466	444
205	468	441
206	470	438
207	472	436
208	474	433
209	477	431
210	478	428
211	480	426
212	482	423
213	484	420
214	485	417
215	487	415
216	489	412
217	491	410
218	492	407
219	494	404
220	496	402
221	498	399
222	499	396
223	501	394
224	503	391
225	505	389
226	507	386
227	509	384
228	510	381
229	512	378
230	514	376
231	516	373
232	517	371
233	519	368
234	520	365
235	522	363
236	524	360
237	526	358
238	527	355
239	529	353
240	531	350
241	533	348
242	534	345
243	536	343
244	538	340
245	541	338
246	543	336
247	545	334
248	547	332
249	549	329
250	551	327
251	553	325
252	555	322
253	557	320
254	559	317
255	560	315
256	562	313
257	564	310
258	566	308
259	568	305
260	570	303
261	572	301
262	574	299
263	575	296
264	577	294
265	579	291
266	581	289
267	582	287
268	584	284
269	586	282
270	588	280
271	590	277
272	591	275
273	593	272
274	595	270
275	596	268
276	598	265
277	600	263
278	601	261
279	603	258
280	605	256
281	606	253
282	608	251
283	610	249
284	611	246
285	613	244
286	615	242
287	618	240
288	619	238
289	621	235
290	623	233
291	624	231
292	626	228
293	627	226
294	629	224
295	631	221
296	632	219
297	634	217
298	636	215
299	638	212
300	640	210
301	642	208
302	643	206
303	645	203
304	647	201
305	649	199
306	651	197
307	652	194
308	654	192
309	656	190
310	658	188
311	659	186
312	661	183
313	663	181
314	664	179
315	666	177
316	668	174
317	670	172
318	671	170
319	673	168
320	675	166
321	677	164
322	678	161
323	680	159
324	682	157
325	684	155
326	685	153
327	687	150
328	689	148
329	691	146
330	692	144
331	694	142
332	696	140
333	698	137
334	699	135
335	701	133
336	703	131
337	704	129
338	706	127
339	708	125
340	710	122
341	711	120
342	713	118
343	715	116
344	717	114
345	718	112
346	720	110
347	722	107
348	723	105
349	725	103
350	727	101
351	729	99
352	730	97
353	732	95
354	734	93
355	736	91
356	738	88
357	740	86
358	742	84
359	745	82
360	747	80
361	749	78
362	751	76
363	753	74
364	755	72
365	757	70
366	758	68
367	760	66
368	762	64
369	764	61
370	766	59
371	768	57
372	770	55
373	771	53
374	773	51
375	775	49
376	777	47
377	778	45
378	780	43
379	782	41
380	785	39
381	786	37
382	788	35
383	790	32
384	791	30
385	793	28
386	795	26
387	797	24
388	799	22
389	801	20
390	803	18
391	804	16
392	806	14
393	808	12
394	809	10
395	811	8
396	813	6
397	815	4
398	817	2
399	819	0
